Name;Description;Latin Name;Location;Feeding Times;StartDate;EndDate;ShowLength;FeedingDates
Baboon;"Kappebavianen lever i den østlige del af det afrikanske kontinent, i lande som Etiopien, Somalia, Sudan og Eritrea. Kappebavianen kan findes i stepper og tørre ørkener, og er den bavian-art der tilbringer mest tid på jorden. Kappebavianen lever oftest i stenede områder, hvor de bruger klipperne til at finde vand og som soveplads.\n\nKappebavianen er altædende og har tilpasset dens kost til dens tørre levested. Dens kost består primært af frugter, græs, rødder og insekter, men vil af og til også fange og spise mindre pattedyr.\n\n"" Kappebavianen bliver op til 75 cm i højden, hvor hannerne kan veje op til 18 kg og hunnerne kan veje op til 10 kg. Levealderen for en kappebavian i naturen er stadig ukendt, men den ældste i fangeskab blev 38 år gammel.";Papio Hamadryas;57.037463,9.898570;19.25;2016,1,1;2016,12,31;30;2,3,6,7
Bear;Brunbjørnen er den mest udbredte af bjørne-arten i verdenen.;Ursus Arctos;57.037393, 9.897042;12.00;2016,1,1;2016,12,31;30;2,3,6,7
Sealion;Den californiske søløve kan findes langs den nedre del af den nordamerikanske vestkyst og ud fra den mexicanske kyst.;Zalophus Californianus;57.036286, 9.898246;12.00;2016,1,1;2016,12,31;30;2,3,6,7
Hippo;Dværgflodhesten er en truet dyreart der kun findes i 4 vestafrikanske lande Liberia, Elfenbenskysten, Sierra Leone og Guinea. Størstedelen af dværgflodheste-bestanden, mellem 2000-3000 i verdenen, er koncentreret i Liberia.\nDværgflodhesten opholder sig i lavtliggende områder af træer, aldrig langt fra vandkilder. De bruger sumpe, floder og strømme til at holde fare på afstand, samt for at holde deres følsomme hud fugtigt. Dværgflodheste er også blevet fundet i huler i siden af flodbredde. Man mener ikke at flodhestene selv graver hulerne, men at de finder eksisterende huler og udvider dem.\n\nDværgflodhesten er vegetar og spiser en blanding af urter, bredbladede planter, græs, falden frugt og vandplanter der ligger i overfladen af vandet. Som andre drøvtyggere har dværgflodhesten også 4 mavesække, men til forskel fra andre drøvtyggere bruger dværgflodhesten ikke mikrober eller gæring til nedbrydning af deres mad. De tygger heller ikke drøvet før de sluger det.\n\nDværgflodhesten bliver 1,5-1,7 meter lange og 0,7-1,0 meter høje. De vejer mellem 160 kg og 275 kg, og der er normalvis ikke er stor forksel mellem hunnerne og hannerne. Flodhesten kan blive op til 42 år gammel.;Hexaprotodon Liberiensis;57.035081, 9.898212;;;;;
Lion;Den asiatiske løve var før i tiden meget udbredt helt fra Grækenland til det centrale Indien, men på grund af krybskytteri og ødelæggelse af habitater findes den asiatiske løve nu kun Girskoven i det nordvestlige Indien. Man mener at bestanden er faldet til kun at være på cirka 350 løver. Den asiatiske løve lever i tørre skovarealer af teaktræer, mens den mere udbredte afrikanske løve vælger habitat efter antallet af byttedyr i området. Den afrikanske løve er god til at tilpasse sig det område den lever i, hvilket gør at den kan findes i alt fra tætte skovarealer til savannaher og lignende semi-ørkener.\n\nDen typiske vægt for voksne hanløver er 190 kg, mens hunnerne i gennemsnit vejer 125 kg. Hannerne bliver omkring 1,1 meter høje, hvor hunnerne bliver lidt mindre end hannerne. Fælles for begge køn er længden, hvor de i gennemsnit bliver 2,5 til 3 meter lange.\n\nLøven er kødædende. De jager oftest i små grupper, hvilket gør det muligt for dem at jage dyr der er betydeligt større end dem selv. Det er dog ikke så normalt for den asiatiske løve at fange bytte der er større end dem selv. Den asiatiske løve jager oftest hjorte og antiloper, og i nogle tilfælde også mindre pattedyr. Løven søger også aktivt efter bytte der allerede er dødt, på samme måde som hyænen gør. I naturen lever løver mellem 12 og 15 år, mens de i fangenskab i gennemsnit bliver 25 år gamle.;Panthera leo persica;57.036185, 9.896652;13.45;2016,1,1;2016,12,31;30;2,3,6,7
Giraffe;Giraffen findes i Afrika, primært fra Sahara's sydlige grænse til det østlige Transvaal i Sydafrika, og det nordlige Botswana. Giraffer er udryddet fra det meste af det vestlige Afrika, pånær en lille bestanddel i Niger. Giraffer bor i bart, tørt land, oftest områder med adgang til mange Acacia træer. Den findes oftest i savannaer, græsområder eller åbne områder med træer sprædt langt mellem hinanden. De har ikke behov for at drikke tit, så de kan også sagtens finde habitat langt væk fra vandkilder.\n\n Giraffen er det højeste dyr i hele dyreriget. Hannerne bliver 5,7 meter høje, hvor hunnerne bliver omkring 1 meter mindre. De bliver omkring 25 år gamle i naturen og 27 år i fangeskab.\n\n Giraffen er vegetar, og har en diæt bestående af blade, blomster, frø og frugter. I steder hvor jorden er saltet og fyldt med mineraler har man også fundet giraffer i færd med at spise jorden. Giraffen er drøvtygger og har derfor 4 maver. Under en rejse bruger giraffen tiden på at tygge drøv for at få det meste ud af føden.;Giraffa Camelopardalis Rotschildi;57.035251, 9.897022;;;;;
PolarBear;Isbjørne findes i størstedelen af Nordpolen, og er også blevet set i de sydligste dele af Island og Grønland. Om vinteren kan man finde dem gående langs den sydlige kyst eller den nordlige kant af Nordpolen. Isbjørne er også blevet fundet i den vestlige og nordlige del af Alaska.\n Isbjørnen antages af mange for at være et havpattedyr. Deres foretrukne habitat er områder med pakis i det arktiske ocean, da dette giver de bedste jage-muligheder for isbjørnen. Hvis pakisen smelter i det område isbjørnen befinder sig i, vil isbjørnen bevæge sig op til 1,000 km nord eller syd, i jagt på nye områder hvor pakisen er tæt nok.\n\n Isbjørnen kan blive op til 1,6 meter høj. De voksne hanner kan veje mellem 300 og 800 kg, mens hunnerne vejer mellem 150 og 300 kg. I naturen lever de oftest mellem 25 og 30 år, hvor de i fangenskab kan blive op til 38 år gamle.\n\n Isbjørnen er kødædende og har en diæt primært bestående af sæler og hvalrosser, samt fugle og mindre fisk. Om sommeren kan de godt finde på at spise vegetation hvis de kan finde det.;Ursus Maritimus;57.036717, 9.896924;13.45;2016,1,1;2016,12,31;30;2,3,6,7
Kaiman;Den sorte kaiman findes i størstedelen af Amazonas. Dens leveområde strækker sig fra det nordlige til det centrale Sydamerika. Dog har ødelæggelse af kaimanens habitater gjort at den nu til dags er mere sjælden end den var for 20 år siden, dog uden at være en truet dyreart. Den sorte kaiman holder til på stejle klipper langs langsomt-strømmende ferskvandsflode, søer, sumpe og i de oversvømmede dele af Amazonas.\n\n Den sorte kaiman er det største rovdyr i Amazonas. I gennemsnit bliver kaimanen 3-4,5 meter lang, men de er før blevet set på helt op til 6 meter lange! De største kaimaner kan veje helt op til 400 kg, men det er dog mere normalt at de har en vægt på omkring 250-300 kg. I fangenskab bliver kaimaner cirka 13 år gamle.\n\n Man ved ikke super meget om den sorte kaimans spisevaner, men få undersøgelser viser at de har en diæt bestående af piratfisk, havkatte, insekter og mindre skaldyr. Den sorte kaiman hjælper med at holde bestanden nede af fisk og andre små dyr. Dog kan dette også have en negativ effekt da de i deres leveområder spiser de fisk som mennesker gerne vil spise.;Melanosuchus Niger;57.036116, 9.898195;;;;;
Tamarin;Kejsertamarinen lever i Amazonas, mere specifikt de store tropiske skovregioner af det sydvestlige Peru, nordvestlige Bolivia og nordvestlige Brazilien. Især småfloderne Acre, Purus og Jurua i Peru har en stor bestanddel af kejsertamarinen. Kejsertamarinen holder til i lyse områder med tør bund i Amazonas skove. Deres territorium kan strække sig helt op til 400 kvadratkilometer, hvor området også strækker sig gennem åbne skovarealer. Kejsertamarinen bruger det meste af sin tid i træer, oftest i en højde af 25-30 meter.\n\n Kejsertamarinen er altædende og spiser oftest frugter, insekter, nektar fra blomster og harpiks fra træer. Den er omkring 25 cm høj med en hale-længde på næsten det dobbelte. De vejer omkring 500 gram, hvilket giver dem mulighed for at kunne finde føde på de yderste grene af træerne og jage insekter meget diskret. Kejsertamarinen lever i op til 20 år i fangeskab.;Saguinus Imperator;57.036075, 9.898411;;;;;
Elephant;Historisk set fandtes den afrikanske elefant syd for Sahara ørkenen, mod den sydlige del af Afrika, helt fra Atlanterhavet i vest til Det Indiske Ocean i øst. Den nuværende bestand af elefanter findes i splittede habitater, der stadigt spredes mere og mere. Elefanten findes primært i nærheden af reservater og beskyttede områder grundet krybskytteri og habitat-ødelæggelser. \n Elefantens habitat er meget varierende da elefanter kan overleve længe uden vand. De lever som regel i ørkner, skove, savannaer, flod dale eller sumpe.\n\n Den afrikanske elefant er det tungeste landdyr i verden. Det er også det andet højeste dyr i dyreriget. Hannerne bliver op til 3,75 meter høje, hvor hunnerne bliver cirka 3 meter høje. Deres kæmpe ører måler omkring 120-125 cm og snablen er cirka 150 cm lang. De vejer i gennemsnit 135 kg. Deres stødtænder kan blive op til 250 cm lange og veje omkring 60 kg hver. Den afrikanske elefant bliver op til 70 år gammel i naturen og 80 år i fangeskab.\n\n Elefanter er vegetarer og spiser ting som blade, rødder, bark og frugt. De spiser mellem 100 og 300 kg mad, og drikker omkring 190 liter vand, hver dag!;Loxodonta Africana;57.035886, 9.897210;13.00;2016,5,1;2016,8,31;60;2,3,6,7
Lemur;Kattalemuren, også kaldet ringhale-lemuren, er en halvabe-art der udelukkende lever på Madagaskar, primært i den sydlige og sydvestlige del af landet. De 22 lemurarter, heriblandt kattalemuren, lever alle udelukkende på Madagaskar og de omkringliggende øer. Kattalemurens habitat består oftest af træer med stenede buskområder, da lemuren tilbringer størstedelen af sin tid i træerne.\n\n Kattalemuren er af gennemsnitlig størrelse i forhold til resten af lemurarterne, med en kropslængde der varierer mellem 380 og 450 mm. Dens hale er længere end dens krop, med en længde på 560-625 mm. Det der kendetegner kattalemuren er især dens hale. Dens hale er skiftevis sort og hvid, hvilket har gjort at den har fået øgenavnet ringhale-lemuren. Lemuren vejer mellem 2,3 og 3,5 kg.\n\n Kattalemuren er planteæder og har derfor en kost bestående af planter, blade, blomster, frugter og i nogle tilfælde harpiks og bark.  I fangenskab lever lemuren i gennemsnit 30 år, mens de i naturen lever omkring 27 år. ;Lemur Catta;57.038091, 9.898626;;;;;
